"Well","Clean_Sample_Name","Cleaner_Sample_Name","Col1","18S","Col3","Col1_dCT","Col3_dCT","Col1_ddCT","Col3_ddCT","Gene","FoldChange"
29,"(P)GFOGER 2","(P)GFOGER","21.665843963623047","17.974933624267578","25.274646759033203",3.69091033935547,7.29971313476562,-0.996934466891819,-1.3092827267117,"Col1",1.99575478059599
29,"(P)GFOGER 2","(P)GFOGER","21.665843963623047","17.974933624267578","25.274646759033203",3.69091033935547,7.29971313476562,-0.996934466891819,-1.3092827267117,"Col3",2.4781830005376
3,"GFOGER 1","GFOGER","21.335735321044922","17.370161056518555","24.794986724853516",3.96557426452637,7.42482566833496,-0.722270541720921,-1.18417019314236,"Col1",1.64977644292288
3,"GFOGER 1","GFOGER","21.335735321044922","17.370161056518555","24.794986724853516",3.96557426452637,7.42482566833496,-0.722270541720921,-1.18417019314236,"Col3",2.27232657762188
30,"(P)GFOGER 2","(P)GFOGER","21.682731628417969","18.113912582397461","25.441495895385742",3.56881904602051,7.32758331298828,-1.11902576022678,-1.28141254848904,"Col1",2.17200249476813
30,"(P)GFOGER 2","(P)GFOGER","21.682731628417969","18.113912582397461","25.441495895385742",3.56881904602051,7.32758331298828,-1.11902576022678,-1.28141254848904,"Col3",2.43076857929395
31,"AA50 1","AA50","21.323984146118164","17.649145126342773","25.535501480102539",3.67483901977539,7.88635635375977,-1.0130057864719,-0.722639507717556,"Col1",2.01811136206893
31,"AA50 1","AA50","21.323984146118164","17.649145126342773","25.535501480102539",3.67483901977539,7.88635635375977,-1.0130057864719,-0.722639507717556,"Col3",1.65019842347813
32,"AA50 1","AA50","21.125984191894531","17.683361053466797","25.682044982910156",3.44262313842773,7.99868392944336,-1.24522166781955,-0.610311932033962,"Col1",2.37054974513552
32,"AA50 1","AA50","21.125984191894531","17.683361053466797","25.682044982910156",3.44262313842773,7.99868392944336,-1.24522166781955,-0.610311932033962,"Col3",1.52658924448323
33,"AA50 1","AA50","21.569726943969727","17.763872146606445","25.6588134765625",3.80585479736328,7.89494132995605,-0.881990008884006,-0.714054531521267,"Col1",1.84291560958416
33,"AA50 1","AA50","21.569726943969727","17.763872146606445","25.6588134765625",3.80585479736328,7.89494132995605,-0.881990008884006,-0.714054531521267,"Col3",1.64040782596394
37,"GFOGEK 1","GFOGEK","22.098079681396484","17.111904144287109","25.095914840698242",4.98617553710938,7.98401069641113,0.298330730862087,-0.624985165066189,"Col1",0.81319275625525
37,"GFOGEK 1","GFOGEK","22.098079681396484","17.111904144287109","25.095914840698242",4.98617553710938,7.98401069641113,0.298330730862087,-0.624985165066189,"Col3",1.5421949672555
38,"GFOGEK 1","GFOGEK","21.983255386352539","17.125804901123047","25.133144378662109",4.85745048522949,8.00733947753906,0.169605678982204,-0.601656383938259,"Col1",0.889085655075428
38,"GFOGEK 1","GFOGEK","21.983255386352539","17.125804901123047","25.133144378662109",4.85745048522949,8.00733947753906,0.169605678982204,-0.601656383938259,"Col3",1.51745778713813
39,"GFOGEK 1","GFOGEK","22.067434310913086","17.078952789306641","25.125743865966797",4.98848152160645,8.04679107666016,0.300636715359158,-0.562204784817165,"Col1",0.811893998043099
39,"GFOGEK 1","GFOGEK","22.067434310913086","17.078952789306641","25.125743865966797",4.98848152160645,8.04679107666016,0.300636715359158,-0.562204784817165,"Col3",1.47652397750857
4,"GVMGFO 3","GVMGFO","21.706619262695312","18.167211532592773","25.0943603515625",3.53940773010254,6.92714881896973,-1.14843707614475,-1.6818470425076,"Col1",2.21673617218331
4,"GVMGFO 3","GVMGFO","21.706619262695312","18.167211532592773","25.0943603515625",3.53940773010254,6.92714881896973,-1.14843707614475,-1.6818470425076,"Col3",3.20838448786173
40,"(P)GFOGER 3","(P)GFOGER","22.187849044799805","17.407566070556641","25.60816764831543",4.78028297424316,8.20060157775879,0.0924381679958763,-0.408394283718533,"Col1",0.937936288001191
40,"(P)GFOGER 3","(P)GFOGER","22.187849044799805","17.407566070556641","25.60816764831543",4.78028297424316,8.20060157775879,0.0924381679958763,-0.408394283718533,"Col3",1.32720781248254
41,"(P)GFOGER 3","(P)GFOGER","21.993623733520508","17.430889129638672","25.608949661254883",4.56273460388184,8.17806053161621,-0.125110202365452,-0.430935329861111,"Col1",1.09059103587094
41,"(P)GFOGER 3","(P)GFOGER","21.993623733520508","17.430889129638672","25.608949661254883",4.56273460388184,8.17806053161621,-0.125110202365452,-0.430935329861111,"Col3",1.34810730022664
42,"(P)GFOGER 3","(P)GFOGER","22.227119445800781","17.290048599243164","25.207790374755859",4.93707084655762,7.9177417755127,0.249226040310329,-0.691254085964626,"Col1",0.84134765027802
42,"(P)GFOGER 3","(P)GFOGER","22.227119445800781","17.290048599243164","25.207790374755859",4.93707084655762,7.9177417755127,0.249226040310329,-0.691254085964626,"Col3",1.61468650089233
43,"AA50 2","AA50","21.774154663085938","17.083929061889648","24.430194854736328",4.69022560119629,7.34626579284668,0.00238079494900134,-1.26273006863064,"Col1",0.998351119593086
43,"AA50 2","AA50","21.774154663085938","17.083929061889648","24.430194854736328",4.69022560119629,7.34626579284668,0.00238079494900134,-1.26273006863064,"Col3",2.39949377225804
44,"AA50 2","AA50","21.70942497253418","17.043045043945312","24.060134887695312",4.66637992858887,7.01708984375,-0.0214648776584205,-1.59190601772732,"Col1",1.01498955259406
44,"AA50 2","AA50","21.70942497253418","17.043045043945312","24.060134887695312",4.66637992858887,7.01708984375,-0.0214648776584205,-1.59190601772732,"Col3",3.01447343922723
45,"AA50 2","AA50","21.691484451293945","17.002737045288086","24.408994674682617",4.68874740600586,7.40625762939453,0.000902599758571654,-1.20273823208279,"Col1",0.999374561190614
45,"AA50 2","AA50","21.691484451293945","17.002737045288086","24.408994674682617",4.68874740600586,7.40625762939453,0.000902599758571654,-1.20273823208279,"Col3",2.30176130469084
49,"GFOGEK 2","GFOGEK","21.764381408691406","17.731330871582031","25.401084899902344",4.03305053710938,7.66975402832031,-0.654794269137913,-0.939241833157009,"Col1",1.57439142613048
49,"GFOGEK 2","GFOGEK","21.764381408691406","17.731330871582031","25.401084899902344",4.03305053710938,7.66975402832031,-0.654794269137913,-0.939241833157009,"Col3",1.91752027624588
5,"GVMGFO 3","GVMGFO","21.774471282958984","18.117645263671875","25.105646133422852",3.65682601928711,6.98800086975098,-1.03101878696018,-1.62099499172635,"Col1",2.04346677554224
5,"GVMGFO 3","GVMGFO","21.774471282958984","18.117645263671875","25.105646133422852",3.65682601928711,6.98800086975098,-1.03101878696018,-1.62099499172635,"Col3",3.07587098472581
50,"GFOGEK 2","GFOGEK","21.987543106079102","17.982284545898438","25.249774932861328",4.00525856018066,7.26749038696289,-0.682586246066624,-1.34150547451443,"Col1",1.60501440553044
50,"GFOGEK 2","GFOGEK","21.987543106079102","17.982284545898438","25.249774932861328",4.00525856018066,7.26749038696289,-0.682586246066624,-1.34150547451443,"Col3",2.53415623976848
51,"GFOGEK 2","GFOGEK","21.877285003662109","18.038871765136719","25.211063385009766",3.83841323852539,7.17219161987305,-0.849431567721897,-1.43680424160427,"Col1",1.80179086671669
51,"GFOGEK 2","GFOGEK","21.877285003662109","18.038871765136719","25.211063385009766",3.83841323852539,7.17219161987305,-0.849431567721897,-1.43680424160427,"Col3",2.70720519418727
52,"Alone 1","Alone","22.002696990966797","17.197513580322266","25.528484344482422",4.80518341064453,8.33097076416016,0.117338604397244,-0.278025097317165,"Col1",0.921886723231801
52,"Alone 1","Alone","22.002696990966797","17.197513580322266","25.528484344482422",4.80518341064453,8.33097076416016,0.117338604397244,-0.278025097317165,"Col3",1.21253391228145
